date,country,newcases
2021-06-17,belarus,873
2021-06-18,belarus,764
2021-06-19,belarus,711
2021-06-20,belarus,582
2021-06-21,belarus,475
2021-06-22,belarus,398
2021-06-23,belarus,802
2021-06-24,belarus,786
2021-06-25,belarus,813
2021-06-26,belarus,778
2021-06-27,belarus,609
2021-06-28,belarus,441
2021-06-29,belarus,495
2021-06-30,belarus,914
2021-07-01,belarus,1023
2021-07-02,belarus,1118
2021-07-03,belarus,1076
2021-07-04,belarus,944
2021-07-05,belarus,614
2021-07-06,belarus,557
2021-07-07,belarus,998
2021-07-08,belarus,1035
2021-07-09,belarus,1250
2021-07-10,belarus,1082
2021-07-11,belarus,1020
2021-07-12,belarus,689
2021-07-13,belarus,586
2021-07-14,belarus,940
2021-07-15,belarus,991
2021-07-16,belarus,1276
2021-07-17,belarus,1021
2021-07-18,belarus,953
2021-07-19,belarus,658
2021-07-20,belarus,600
2021-07-21,belarus,975
2021-07-22,belarus,1069
2021-07-23,belarus,1103
2021-07-24,belarus,1061
2021-07-25,belarus,880
2021-07-26,belarus,648
2021-07-27,belarus,525
2021-07-28,belarus,950
2021-07-29,belarus,1033
2021-07-30,belarus,1184
2021-07-31,belarus,992
2021-08-01,belarus,958
2021-08-02,belarus,756
2021-08-03,belarus,581
2021-08-04,belarus,967
2021-08-05,belarus,1143
2021-08-06,belarus,1295
2021-08-07,belarus,1213
2021-08-08,belarus,979
2021-08-09,belarus,742
2021-08-10,belarus,607
2021-08-11,belarus,966
2021-05-11,belgium,2456
2021-05-12,belgium,3251
2021-05-13,belgium,2890
2021-05-14,belgium,1631
2021-05-15,belgium,1967
2021-05-16,belgium,1852
2021-05-17,belgium,972
2021-05-18,belgium,1819
2021-05-19,belgium,3800
2021-05-20,belgium,3192
2021-05-21,belgium,2906
2021-05-22,belgium,2516
2021-05-23,belgium,1753
2021-05-24,belgium,941
2021-05-25,belgium,855
2021-05-26,belgium,1975
2021-05-27,belgium,2891
2021-05-28,belgium,2360
2021-05-29,belgium,1860
2021-05-30,belgium,1437
2021-05-31,belgium,801
2021-06-01,belgium,1498
2021-06-02,belgium,1859
2021-06-03,belgium,1599
2021-06-04,belgium,1449
2021-06-05,belgium,1468
2021-06-06,belgium,928
2021-06-07,belgium,469
2021-06-08,belgium,904
2021-06-09,belgium,1183
2021-06-10,belgium,846
2021-06-11,belgium,784
2021-06-12,belgium,777
2021-06-13,belgium,573
2021-06-14,belgium,241
2021-06-15,belgium,508
2021-06-16,belgium,671
2021-06-17,belgium,493
2021-06-18,belgium,
2021-06-19,belgium,833
2021-06-20,belgium,331
2021-06-21,belgium,225
2021-06-22,belgium,395
2021-06-23,belgium,1026
2021-06-24,belgium,847
2021-06-25,belgium,568
2021-06-26,belgium,
2021-06-27,belgium,
2021-06-28,belgium,1002
2021-06-29,belgium,1072
2021-06-30,belgium,581
2021-07-01,belgium,754
2021-07-02,belgium,623
2021-07-03,belgium,
2021-07-04,belgium,
2021-07-05,belgium,1855
2021-07-06,belgium,742
2021-07-07,belgium,1990
2021-07-08,belgium,1382
2021-07-09,belgium,1223
2021-07-10,belgium,
2021-07-11,belgium,
2021-07-12,belgium,3329
2021-07-13,belgium,1303
2021-07-14,belgium,2284
2021-07-15,belgium,1453
2021-07-16,belgium,1344
2021-07-17,belgium,
2021-07-18,belgium,
2021-07-19,belgium,3795
2021-07-20,belgium,1467
2021-07-21,belgium,
2021-07-22,belgium,3486
2021-07-23,belgium,
2021-07-24,belgium,1304
2021-07-25,belgium,
2021-07-26,belgium,4232
2021-07-27,belgium,1333
2021-07-28,belgium,2059
2021-07-29,belgium,1862
2021-07-30,belgium,1764
2021-07-31,belgium,
2021-08-01,belgium,
2021-08-02,belgium,4303
2021-08-03,belgium,1740
2021-08-04,belgium,2176
2021-08-05,belgium,1973
2021-08-06,belgium,1819
2021-08-07,belgium,
2021-08-08,belgium,
2021-08-09,belgium,4653
2021-08-10,belgium,1748
2021-08-11,belgium,2609
2021-05-11,bosnia and herzegovina,295
2021-05-12,bosnia and herzegovina,284
2021-05-13,bosnia and herzegovina,207
2021-05-14,bosnia and herzegovina,140
2021-05-15,bosnia and herzegovina,
2021-05-16,bosnia and herzegovina,
2021-05-17,bosnia and herzegovina,347
2021-05-18,bosnia and herzegovina,185
2021-05-19,bosnia and herzegovina,172
2021-05-20,bosnia and herzegovina,171
2021-05-21,bosnia and herzegovina,132
2021-05-22,bosnia and herzegovina,
2021-05-23,bosnia and herzegovina,
2021-05-24,bosnia and herzegovina,241
2021-05-25,bosnia and herzegovina,122
2021-05-26,bosnia and herzegovina,145
2021-05-27,bosnia and herzegovina,104
2021-05-28,bosnia and herzegovina,77
